0,0
25000,44.7262
50000,45.7964
75000,45.5196
100000,46.8894
125000,46.3388
150000,50.4398
175000,50.2964
200000,51.1538
225000,52.8884
250000,52.7056
275000,54.7638
300000,57.5424
325000,59.6159
350000,60.4424
375000,61.3179
400000,64.7251
425000,66.5374
450000,68.5851
475000,70.3226
500000,74.2975
525000,77.8988
550000,78.0962
575000,81.6019
600000,84.3030
625000,87.6164
650000,91.8616
675000,93.1746
700000,93.0349
725000,95.6862
750000,94.1920
775000,95.0420
800000,101.2056
825000,104.0076
850000,106.1476
875000,110.1383
900000,113.7918
925000,117.1003
950000,127.9602
975000,127.4076
